,Lat,Long,Insolation
2,54.86233,-2.3919981,1005.309
3,57.271658,-4.0756421,952.106
4,52.234476,-4.2721271,1147.0376
5,54.434273,-6.0888787,1047.6035
6,50.992662,-3.0709379,1158.9788
7,54.054114,-1.9260945,1041.5448
8,56.005966,-4.4884638,984.7996
9,53.048421,0.011514478,1138.6591
10,55.042068,-1.6113203,1012.4931
11,54.260068,-5.9179643,1067.9384
12,55.448966,-5.244077,1028.153
13,51.806612,-2.2198869,1096.1535
14,56.999526,-4.2251144,923.4056
15,52.06464,-0.32476992,1149.0488
16,56.182125,-4.6610125,938.9162
17,51.626448,-1.6411665,1126.0575
18,53.872416,-2.686855,1053.7795
19,54.489009,-7.0215079,1027.5403
20,53.227998,-4.0247568,1146.1699
21,58.252885,-4.4735821,929.2768
22,53.874357,-2.0785049,1043.7304
23,52.794621,-1.4833342,1069.5515
24,56.89797,-7.505489,1024.8664
25,53.59426,-0.41597218,1114.9554
26,52.429518,-3.2525114999999998,1070.1595
27,58.264258,-3.7924391,957.7996
28,51.804096,-2.7999957,1093.3111
29,57.557575,-2.4205209,987.1689
30,55.843864,-3.3600154,974.2627
31,56.426551,-5.6513987,932.9177
32,52.614812,-2.5193058,1059.3846
33,56.01724,-3.8473926,962.833
34,57.173399,-7.3808065,1006.7422
35,57.916094,-6.8154229,967.649
36,56.835072,-3.0679499,980.8584
37,51.986438,-1.7839163,1098.1727
38,51.420198,0.51455341,1172.1559
39,50.630101,-3.3454618,1157.4128
40,52.244297,-3.6867028,1100.6274
41,50.137509,-5.4308786,1167.872
42,53.420947,-2.9805068,1068.6064
43,52.336237,-0.46130334,1145.2336
44,51.083832,-1.0743092,1172.3315
45,51.896704,-2.0750001,1087.9256
46,54.771892,-1.4584693,1002.3386
47,54.393005,-7.1639498,1028.0594
48,52.960921,-3.8633585,1126.6826
49,57.980311,-4.6239114,939.1978
50,56.447752,-4.8418505,913.1644
51,54.518584,-6.2519234,1036.013
52,50.90397,-2.9266824,1161.9394
53,57.179051,-4.2358984,937.5259
54,52.147361,-4.1215199,1141.3798
55,54.951586,-2.5490029,994.8644
56,55.453053,-5.0862178,1028.6161
57,52.517804,-0.6023478,1126.0784
58,53.140691,-0.13369083,1129.0548
59,50.701402,-4.4804361,1121.2656
60,51.535986,-2.5069305,1117.3227
61,53.964048,-1.7738326,1044.3584
62,57.797286,-4.7789082,910.2867
63,56.564115,-3.2230268,984.1897
64,58.178019,-7.021165,968.1039
65,52.523296,-1.1917453,1119.21
66,52.885049,-2.3739198,1052.305
67,52.156427,-3.5371929,1100.7334
68,51.15367,0.35702467,1175.3476
69,50.44244,-3.9034816,1145.1817
70,51.716887,-1.9299515,1114.2737
71,57.992464,-3.9480117,968.9212
72,53.682006,-0.26126196,1116.6621
73,50.328767,-5.0230524,1146.9515
74,52.70528,-1.6323887,1065.4003
75,55.105033,-4.5889213,1033.8799
76,54.143788,-2.2320954,1034.3899
77,55.752177,-3.5161573,979.573
78,53.329799,-0.87627367,1098.0578
79,51.894896,-2.656284,1089.0559
80,57.646727,-2.5890814,985.2599
81,56.827745,-3.7232352,940.0088
82,53.06261,-1.1816897,1086.7777
83,52.663265,1.1769535,1112.9292
84,54.40656,-0.69297323,1069.7191
85,55.689015,-6.2190489,1020.5786
86,57.28086,-3.4125853,967.0144
87,52.251215,-3.1009919,1069.3001
88,50.976657,-4.2101597,1113.2973
89,55.401475,-2.3973197,978.4419
90,50.637675,-2.2143805,1170.9193
91,53.236671,-3.4257908,1097.1039
92,52.760601,0.88755596,1121.6634
93,51.608366,0.091647393,1143.9677
94,57.009499,-3.5669544,948.2995
95,52.071487,-0.90812962,1140.1111
96,51.267132,-2.2172995,1144.2121
97,54.586191,-3.3177807,1045.4859
98,55.835148,-3.9984351,995.7434
99,51.264663,-2.7905916,1137.3192
100,54.232702,-1.4655485,1057.8672
101,51.779389,-4.5391413,1150.117
102,57.520398,-5.0918803,886.5416
103,53.600733,-1.0202138,1078.8645
104,52.421825,-3.8405373,1096.611
105,52.773544,0.29533206,1150.2264
106,51.596661,0.66869205,1177.1803
107,54.411655,-1.3091461,1043.9104
108,50.986048,-3.6406789,1112.7893
109,57.601447,-5.4336321,870.2242
110,51.959142,0.54460948,1158.9272
111,51.446974,-1.786469,1133.2827
112,53.780424,-2.9888699,1065.4019
113,56.816981,-4.378137,913.149
114,53.057011,-0.58496184,1122.2486
115,55.222185,-1.7667607,1020.313
116,58.335544,-4.8210709,931.7698
117,54.11417,-4.6797662,1139.4437
118,56.477062,-2.8955239,1012.9265
119,55.132521,-2.0809624,992.6859
120,52.67432,0.73391942,1140.602
121,52.968765,-3.2680486,1055.8373
122,51.357228,-2.0741127,1135.9887
123,52.342422,-1.0482586,1128.5111
124,51.077918,-0.50341233,1156.9157
125,52.756904,1.0355372,1116.2806
126,53.153426,-1.3295026,1080.6691
127,56.556011,-3.8735703,938.7852
128,54.914672,-5.0448447,1046.8087
129,57.486405,-6.257572,938.6899
130,55.49071,-2.5564795,974.0819
131,50.8894,-4.0638354,1112.0114
132,57.189093,-3.5745529,959.988
133,55.77304,-6.3877046,1023.5458
134,52.162599,-2.952606,1073.5187
135,51.177395,-1.9307691,1150.2827
136,51.692702,0.38492975,1158.8929
137,54.323137,-2.3868507,1034.4406
138,57.507147,-5.5917794,895.0432
139,50.898069,-3.495377,1123.9124
140,53.148559,-0.73148334,1111.0673
141,56.544506,-4.523704,912.3137
142,52.509379,-0.013191427,1141.7681
143,51.872261,-4.3990922,1150.8449
144,57.605879,-5.2665897,859.0724
145,51.355455,-2.6485438,1135.9465
146,54.798001,-5.9699002,1032.0309
147,55.742665,-4.1530196,1005.2489
148,53.322634,-0.27590673,1119.2026
149,54.494568,-3.4692333,1058.5378
150,60.430502,-1.3672285,986.4819
151,52.686485,0.14279901,1147.3599
152,55.130489,-2.708291,967.8965
153,53.689265,-0.86672595,1089.8243
154,55.026934,-3.9580036,1008.6747
155,57.391113,-6.4130569,951.1178
156,55.574386,-3.3506838,967.4807
157,50.791243,-4.485191,1120.3395
158,52.073793,-2.8048089,1074.8582
159,57.10845,-2.4154177,1001.0265
160,55.878807,-5.9196757,1011.3702
161,51.613075,-3.8076289,1136.9831
162,53.863798,-0.4058075,1098.7384
163,58.533562,-3.8061666,959.4048
164,53.604716,-2.0780023,1040.209
165,52.404929,0.71722534,1145.7143
166,53.244059,-1.4779398,1073.0701
167,51.974697,-3.6765563,1118.3181
168,52.256151,-1.7826096,1068.5046
169,50.971031,0.49020975,1189.5736
170,57.620527,-7.4469337,992.652
171,56.38596,-3.0553454,1003.8448
172,56.695515,-5.6774325,931.121
173,53.064264,-2.5246978,1048.8208
174,52.599223,-0.0091281758,1143.9742
175,50.235235,-5.1573804,1155.958
176,55.216686,-3.1813555,947.6687
177,53.784481,-1.9265675,1042.3227
178,57.720485,-4.1012831,966.9811
179,51.96497,-4.2584658,1149.1652
180,54.703185,-6.1159276,1028.452
181,54.413006,-2.3876968,1032.7477
182,54.936593,-7.0772671,1017.8184
183,52.778818,-4.0038379,1113.2387
184,58.522069,-4.4925141,946.503
185,56.630839,-4.6925337,904.5942
186,52.416977,0.12970722,1143.7393
187,53.602794,-2.6824713,1050.0064
188,51.262423,-0.92740488,1152.8217
189,51.79503,-0.33477966,1163.1029
190,54.592757,-1.6156077,1012.0982
191,55.897495,-5.2814461,975.0893
192,52.076334,-2.2212112,1070.2528
193,56.928791,-2.413418,1024.5026
194,50.884131,0.3433925,1194.042
195,52.166426,-1.9292505,1073.0753
196,51.707048,-3.5219086,1131.7051
197,54.316712,-0.69582232,1073.9008
198,56.600957,-5.8312368,943.5141
199,53.154717,-2.3762603,1063.0982
200,52.39398,1.157564,1138.9193
201,56.294654,-3.2144051,990.1885
202,51.520987,-0.056506887,1146.6154
203,52.344392,-2.662922,1065.267
204,57.377266,-2.584753,981.2605
205,55.303064,-3.4989757,957.4886
206,58.990334,-3.1339067,962.525
207,52.974956,-1.630106,1054.4851
208,53.694403,-2.2296136,1036.1112
209,58.441275,-3.9727618,953.8293
210,54.131187,-0.24250443,1096.1069
211,53.691709,-2.8353482,1057.0707
212,56.716933,-4.8621346,902.676
213,54.661508,-7.1980405,1019.5421
214,52.69138,-3.8518572,1081.1168
215,58.428909,-4.6572266,934.6153
216,52.346229,-2.0757611,1047.5928
217,54.502303,-1.4620381,1030.1131
218,53.306111,-4.6288641,1183.7822
219,51.886871,-0.47669594,1150.2687
220,51.353554,-1.0688852,1146.8199
221,53.514649,-1.7762298,1053.4775
222,52.871159,-0.14528212,1142.3325
223,54.682005,-2.5453573,1029.0881
224,54.96666,-6.2992072,1017.49
225,51.1737,-2.9320804,1141.4083
226,54.32179,-1.3106521,1051.3408
227,57.448328,-4.2523134,948.2571
228,51.698126,-4.1004357,1146.9989
229,53.222638,0.31928188,1130.1529
230,51.620549,-3.2301073,1134.4874
231,53.870334,-1.0139252,1080.9709
232,57.890587,-4.6173674,933.1611
233,50.815097,-2.7829745,1173.2035
234,54.623651,-5.7978852,1045.564
235,52.048847,-4.5543967,1162.1701
236,57.071905,-5.0544493,905.2723
237,56.879556,-5.5312973,915.8021
238,55.035392,-3.3324868,977.3707
239,50.518635,-4.6119175,1149.3031
240,55.565757,-3.9847299,997.593
241,58.066423,-4.7998001,928.0772
242,56.368173,-4.3500982,935.473
243,55.20898,-3.8097629,991.2195
244,52.607676,-0.59948844,1125.4557
245,57.332451,-5.4084699,905.859
246,52.228591,0.55999388,1146.2785
247,50.997382,-1.7885365,1167.8843
248,55.671029,-2.4000485,994.8901
249,57.312722,-6.0712532,936.6263
250,53.424952,-1.9271862,1049.2341
251,55.12206,-6.9438222,1006.4919
252,51.981549,-3.0943661,1086.8469
253,56.063094,-5.7776486,984.9569
254,52.932531,1.1966532,1115.0707
255,56.378756,-3.702906,927.1404
256,52.613185,-1.1900915,1116.9415
257,55.19804,-4.4378058,1025.4191
258,50.817527,-2.2152038,1170.6132
259,52.116549,1.430106,1159.8767
260,51.25577,-0.35433655,1149.0837
261,51.801812,-0.91465527,1131.1612
262,56.657789,-2.7366833,1006.9535
263,52.43559,-1.6346354,1069.724
264,50.619796,-4.0520068,1123.4273
265,52.787351,-3.4110533,1039.0744
266,58.541386,-3.1193707,961.2033
267,52.878951,-0.7393643,1126.7391
268,56.275244,-4.5059324,919.3073
269,51.534421,-1.2093744,1135.3893
270,58.152283,-4.9765358,927.3252
271,60.609063,-1.1810843,999.632
272,51.167742,-3.5040843,1125.9429
273,54.165339,-6.0622711,1070.1234
274,56.892494,-5.0397809,904.8639
275,50.90763,-1.9311684,1173.3322
276,52.14185,0.40885776,1147.0779
277,57.058878,-5.548326,918.8658
278,54.138565,-0.85449677,1076.1495
279,55.14022,-6.4749091,1016.0031
280,56.092377,-4.654816,970.09
281,55.29371,-4.1286334,1008.2189
282,50.727254,-2.3564685,1170.0309
